"ECOLE_ID","ECOLE_NAME_FR","ECOLE_NAME_UK","ECOLE_SHORT_NAME","ECOLE_SHORT_NAME_UK","COUNTRY_ID"
"70","ECOLE ROYALE DE L'AIR DE MARRAKECH","ECOLE ROYALE DE L'AIR DE MARRAKECH","ERAM","ERAM","15"
"71","ECOLE ROYALE DE MARRAKECH","ECOLE ROYALE DE MARRAKECH","ERM","ERM","15"
"72","ECOLE ROYALE DES SERVICES DE SANTE MILITAIRE MAROC","ECOLE ROYALE DES SERVICES DE SANTE MILITAIRE MAROC","ERSSM","ERSSM","15"
"73","ECOLE DE FORMATION D'OFFICIERS DE NIAME","ECOLE DE FORMATION D'OFFICIERS DE NIAME","","","16"
"74","ECOLE NATIONALE DES SOUS OFFICIERS D'ACTIVE DE NIAMEY","ECOLE NATIONALE DES SOUS OFFICIERS D'ACTIVE DE NIAMEY","","","16"
"75","NIGERIA DEFENSE ACADEMY ","NIGERIA DEFENSE ACADEMY ","NDA","NDA","17"
"76","ACADEMIE MILITAIRE SUPERIEURE D'AVIATION DE KRASNODOR","ACADEMIE MILITAIRE SUPERIEURE D'AVIATION DE KRASNODOR","","","44"
"77","ECOLE MILITAIRE SUPERIEURE DE COMMANDEMENT DE NOVOSIBIRSK","ECOLE MILITAIRE SUPERIEURE DE COMMANDEMENT DE NOVOSIBIRSK","","","44"
"78","ACADEMIE MILITAIRE SUPERIEURE DE LA DEFENSE ANTIAERIENNE DE YAROSLAV","ACADEMIE MILITAIRE SUPERIEURE DE LA DEFENSE ANTIAERIENNE DE YAROSLAV","","","44"
"79","ACADEMIE MILITAIRE D'ARTILLERIE DE MIKHAILOVSKE DE SAINT PETERSBOURG","ACADEMIE MILITAIRE D'ARTILLERIE DE MIKHAILOVSKE DE SAINT PETERSBOURG","","","44"
"80","ECOLE SUPERIEURE DE LA MER NOIRE DE SEBASTOPOL","ECOLE SUPERIEURE DE LA MER NOIRE DE SEBASTOPOL","","","44"
"81","ACADEMIE MILITAIRE DE DEFENSE ANTI AERIENNE DE TVER","ACADEMIE MILITAIRE DE DEFENSE ANTI AERIENNE DE TVER","","","44"
"82","ACADEMIE MILITAIRE DU SOUTIEN LOGISTIQUE DU GENIE MILITAIRE DE SAINT PETERSBOURG","ACADEMIE MILITAIRE DU SOUTIEN LOGISTIQUE DU GENIE MILITAIRE DE SAINT PETERSBOURG","","","44"
"20ca85f8-6d38-467a-9e34-da506d837c65","CENTRE NATIONAL D’INSTRUCTION ","CENTRE NATIONAL D’INSTRUCTION ","CNI","CNI","02"
